Ticker,Status,Price,Pred_Ret_Pct,Target_Price,Vol_Regime,Sharpe,Total_Ret_Pct,Alpha_Score,ROC_60d_Pct
DOW,EROARE: missing value where TRUE/FALSE needed,,,,,,,2.156,69.04
TPL,OK,530.36,-3.56,511.48,NORMAL,0,0.02,2.428,77.33
TRGP,OK,245.46,-6.19,230.26,NORMAL,0.03,16.5,2.131,36.19
XOM,OK,163.26,-8.76,148.95,NORMAL,0.01,14.77,1.991,37.25
CVX,OK,205.15,-10.38,183.86,NORMAL,0,0.02,2.193,37.62
EOG,OK,143.21,-12.03,125.98,NORMAL,0.01,19.76,2.086,40.95
COP,OK,128.93,-14.09,110.77,NORMAL,0.01,14.21,2.192,43.85
OXY,OK,61.85,-16.39,51.71,NORMAL,0,0.02,2.327,59.27
APA,OK,41.32,-23.32,31.69,NORMAL,0.01,17.22,2.746,75.55
LYB,OK,77.19,-24.68,58.14,HIGH,0,0.02,2.282,78.87
